export_source_country_2021,"Afghanistan, Islamic Rep. of",Albania,Algeria,American Samoa,Angola,Anguilla,Antigua and Barbuda,Argentina,"Armenia, Rep. of","Aruba, Kingdom of the Netherlands",Australia,Austria,"Azerbaijan, Rep. of","Bahamas, The","Bahrain, Kingdom of",Bangladesh,Barbados,"Belarus, Rep. of",Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Rep.,Chad,Chile,"China, P.R.: Mainland","China, P.R.: Hong Kong","China, P.R.: Macao",Colombia,"Comoros, Union of the","Congo, Dem. Rep. of the","Congo, Rep. of",Costa Rica,Côte d'Ivoire,"Croatia, Rep. of",Cuba,"Curaçao, Kingdom of the Netherlands",Cyprus,Czech Rep.,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,"Egypt, Arab Rep. of",El Salvador,"Equatorial Guinea, Rep. of","Eritrea, The State of","Estonia, Rep. of","Eswatini, Kingdom of","Ethiopia, The Federal Dem. Rep. of",Falkland Islands (Malvinas),Faroe Islands,"Fiji, Rep. of",Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep. of",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,"Kazakhstan, Rep. of",Kenya,Kiribati,"Korea, Rep. of","Kosovo, Rep. of",Kuwait,Kyrgyz Rep.,Lao People's Dem. Rep.,Latvia,Lebanon,"Lesotho, Kingdom of",Liberia,Libya,Lithuania,Luxembourg,"Madagascar, Rep. of",Malawi,Malaysia,Maldives,Mali,Malta,"Marshall Islands, Rep. of the","Mauritania, Islamic Rep. of",Mauritius,Mexico,"Micronesia, Federated States of","Moldova, Rep. of",Mongolia,Montenegro,Montserrat,Morocco,"Mozambique, Rep. of",Myanmar,Namibia,"Nauru, Rep. of",Nepal,"Netherlands, The",New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,"Korea, Dem. People's Rep. of","North Macedonia, Republic of",Norway,Oman,Pakistan,"Palau, Rep. of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,"Poland, Rep. of",Portugal,Qatar,Romania,Russian Federation,Rwanda,"San Marino, Rep. of","São Tomé and Príncipe, Dem. Rep. of",Saudi Arabia,Senegal,"Serbia, Rep. of",Seychelles,Sierra Leone,Singapore,"Sint Maarten, Kingdom of the Netherlands",Slovak Rep.,"Slovenia, Rep. of",Solomon Islands,Somalia,South Africa,"South Sudan, Rep. of",Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Rep.,"Tajikistan, Rep. of","Tanzania, United Rep. of",Thailand,"Timor-Leste, Dem. Rep. of",Togo,Tonga,Trinidad and Tobago,Tunisia,"Türkiye, Rep of",Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,"Uzbekistan, Rep. of",Vanuatu,"Venezuela, Rep. Bolivariana de",Vietnam,West Bank and Gaza,"Yemen, Rep. of",Zambia,Zimbabwe
"Lesotho, Kingdom of",0,0,0,0,51222,0,0,13917,0,0,336739,57,0,0,0,1107184,0,0,301236455,0,10168,0,0,0,0,2568482,0,0,1474,205,0,0,13,26,5660619,0,0,205643,253060,3541,0,0,0,283221,2515,0,0,28165,0,0,0,0,278,0,0,8468,0,1828010,0,0,0,0,10348431,274845,0,0,0,0,57402,0,0,0,0,7917534,6464,0,0,0,0,0,0,0,0,0,0,0,0,89465,0,65060,968421,0,0,1153,172515,2044,0,581041,5,0,2353259,0,51887,0,0,0,0,0,0,0,0,0,0,0,86727,58167,136075,0,0,0,0,0,1159786,5459229,0,0,0,0,0,0,238352,0,8989,0,0,47985,0,336884,0,0,10968,0,0,324,0,132,0,0,0,0,5412,140,0,91,0,0,0,374,0,0,18096,0,0,0,1692,2365,0,0,0,0,0,439314687,0,12643,0,0,0,0,8769,0,0,1607,0,0,559101,0,0,0,0,0,0,18043,0,0,52805,13,202997,2694398,282242120,2357,0,0,0,1548,0,0,58308,203862
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11585044,0,0,90548919,0,0,0,0,0,0,0,0,0,0,4487618,0,0,0,0,0,0,0,0,842873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319814,0,0,0,0,0,0,0,0,0,1417547,0,0,0,0,0,0,0,0,0,0,0,6467096,0,0,0,0,521409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607043,974753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100796,0,0,814701,6444284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158739973,0,0,0,0,0,0,0,0,0,131233,0,0,0,0,73386491,0,84804451,0,0,0,0,0,0,0,0,0
Libya,0,89341421,0,0,0,0,0,0,453,0,309635553,49594,0,0,4757,22250,0,0,54020742,0,7314,0,0,0,0,0,14333586,24,1033,0,0,0,0,0,231861,0,0,10912,4080623627,64116,0,0,0,0,0,0,0,97611776,18321,0,3723779,0,229247343,0,0,0,0,16384275,87,0,35328,29674574,0,0,0,0,0,0,2018067043,973,1577,9804,0,290226130,0,73445488,988998177,0,0,0,565,0,0,0,0,0,0,16605989,57,60347275,10823238,0,0,16327,0,14463661019,0,34011659,0,0,288,0,5470828,2411720,0,0,0,0,91277220,0,0,0,432,34,0,0,22970046,0,0,16647650,0,686575,0,25,0,580398,0,0,0,33745,0,0,0,0,0,3192811878,0,17818,72,180097,64693,0,0,17338,4416,4123023,0,0,0,0,0,0,755,13343037,0,16721798,474,0,0,0,153656358,0,7456995,0,0,228722682,0,0,2782308,0,0,0,0,2658237893,0,0,0,0,0,0,99227318,43549,0,0,0,1109183657,0,0,0,0,330543432,821784625,0,0,0,35673253,1690652440,1792226142,1154078558,0,0,10565,0,0,0,26897,0,0
Lithuania,4510324,5362821,69504366,0,15195751,0,144449,60942212,20258997,285289,128964596,409447394,40988044,239458,942825,5338858,255235,1240328897,803867057,0,4001097,561700,20687,3494501,8964097,220491,75420816,330047,117223783,2144411,272773,0,1100680,5584850,158028550,83766,289271,38714956,270319433,55795342,344719,7221246,0,985130,4984471,3031023,21783552,71133539,709252,122132,16650548,495616034,1002726139,168634,239711,2263122,4056988,45260125,780381,496055,0,2000311164,0,392432,0,18700911,331873,716873160,977463749,1063726,887364,1199584,50708573,3350247095,22369290,12809,79776686,357058,66412,181962,5079620,1432176,361899,486195,9657146,0,534555,337976933,66908824,96206062,14308488,2561288,3509478,170494283,88127424,932425185,555862,92269118,11715876,420592929,34458701,0,124842087,4250216,8894757,36315140,10591,3801577938,4346292,0,185304,62500625,0,51044013,185203,1286090,36765952,551874,2002310,6415884,1447338,1793933,1024701,89837616,1672,33672377,13404052,1367150,0,67445103,8451403,207536,2932116,0,5781503,2063941358,1557441,17452625,832175,299748,254749163,0,5971651,1074260223,4895225,14831486,0,391365,729864,2571181,4321931,7678511,3236324479,90834414,4409961,194667287,4423415646,9054101,12299,0,117176824,9842766,28632878,171036,800095,298151545,2317,160254166,57951581,0,238900,151205687,7873,522973554,5084842,33411,143021,162055,18504194,454822,1817491775,231281791,162626,39694998,1144879,16026922,0,2621387,0,1967857,35392404,610629343,21138322,0,4763877,1550594350,81491971,1590165666,2556693054,8829500,183364338,19070,1462161,44362375,2989602,1400476,2092677,808694
Luxembourg,6373976,1854898,12645177,0,1139871,0,0,6931495,129854,9769,29048612,353770538,18000036,3644,2191863,8732193,200006,2539244,2081349306,0,796710,65115,0,480317,965801,40787,47774638,183680,25302605,2024597,23164,148306,452703,2226397,148212910,577752,2515121,11312015,267635814,43247146,1575435,6416702,0,6063271,3678038,1376880,12777045,12337419,14712,135953,3046100,204818027,103097424,184657,109820,9124974,1138363,24614123,301048,0,65224,9315754,4038,2307405,0,1064640,1094920,87348398,2710220866,1115366,182062,526725,1168719,4469493186,12431126,10057704,36650337,328,46,30747,565080,3621598,1475,2995683,167478,255,1443709,122951060,6679060,48374875,27948406,930452,2893131,74009327,14176256,723578563,321835,105167362,13264982,7233998,2325363,155547,76662424,2401723,5786539,844896,534403,8128182,667259,1011,1386548,1790923,34057718,0,6114331,1123969,13756446,28255,4001988,2268792,188584,3719,288466,96559393,318225,1237375,108145,154339,1117,12094480,824354,1695325,135466,2036,995770,1063018950,742625,24320940,1775406,823564,23994416,118,1443866,97839404,3955647,22892273,546492,1581919,1551224,903243,9241638,12055733,421928920,90449249,9940286,111262436,183378372,363010,111090,12903,32845761,3488424,15224262,18064,3358939,28241698,0,68507458,48729782,613455,2128944,41643170,0,400431200,771052,0,0,0,2572631,63397,216118982,230368312,277231,35019,2241879,28003850,19144,1639871,19160,6664892,8201429,188381999,556311,13203,3237215,16131159,36501076,419372677,449940086,1597266,1609189,307986,798883,66740266,260,365858,2958843,515032
"Madagascar, Rep. of",0,11295,1257700,0,33357,0,0,352079,0,0,7187146,338261,55030,0,20169,626968,0,3956,23909156,0,328794,0,0,113737,0,3468,2319451,0,86924,89399,240,0,1695648,171492,147492954,0,13524,23099,366677532,3055561,24,15097,7330646,11903,541,57541,152148,36091,0,0,53575,125744,1902798,26084,9037,472836,0,2081765,29847,0,0,14353,0,2092669,0,0,0,3157567,534095273,1788,12,97524,164274,125957084,414701,0,1021063,0,0,86,0,23943,0,16518,0,0,14539,183644,186,104825022,40997210,72906,944136,144319,74439,18096299,0,238610354,305222,0,8834170,0,12272948,0,249015,0,0,235198,17446,0,26241,67287,0,1830,0,702175,4703988,1851,1746,0,0,13795,29049232,666762,0,0,0,0,0,5839476,2684889,0,441,0,9491,143098795,12176,593806,0,99354,288263,0,5362,434989,305376,2308397,1368,18005,204,0,171058,188238,2035952,7459186,197616,1652040,3961687,210238,0,0,1794214,56705,5424,2298496,642029,32640140,0,339385,273798,0,0,89768452,0,18512496,1403483,22272,0,0,58768,0,11255414,31900216,0,2984,5015235,2939742,0,271065,0,0,638546,10716291,0,0,837173,611209,22770982,27039835,504425322,112,265,0,0,23318218,0,190988,195092,1312210
Malawi,0,0,1136543,0,1337370,0,0,0,966012,0,16539,6672,0,0,0,4235,0,1989824,208532628,0,0,0,0,42,0,2747295,2435316,0,37133,0,7454040,0,135218,48230,1568973,0,0,0,12120030,1022695,0,0,0,0,668349,73,8088,278,0,0,0,228076,8821923,0,0,1092017,69,37139703,0,0,716,372,129197,465506,0,3737,91438,1113,2596844,2338,21593,10260,954451,29178188,261660,0,8079732,0,0,0,0,711437,0,0,0,0,0,14792,193,103721407,7463040,989637,0,9024,88512,3414964,0,1248564,2059381,1022413,165569454,0,3946459,0,0,0,83348,0,4385,11646,132,0,995044,684503,385539,0,607190,0,0,34550,0,824756,11800,11611,0,137418,0,432,0,2587808,15622277,0,530170,0,0,22222414,504,0,0,0,833592,3702,111690,10661,312492,201192,0,0,0,3346396,0,590524,9745488,2321046,348562,497407,16869308,29897974,0,0,655662,315684,3569,6856,219090,7625038,0,562,0,0,0,64608130,0,45264422,6797,0,47,0,3442927,370,454690,32672762,0,0,27437467,409,0,0,0,0,1162128,1958572,0,0,2700729,6547328,20362982,24747467,41184164,0,5282,0,0,3019500,0,0,37889064,38199806
Malaysia,215431437,3540570,116088110,18604491,183043816,74423,1439353,199336710,1768219,58290,8480538302,129597902,30384750,815074,85486816,2256969587,5186744,3915237,1544970703,2152159,94029142,217457,1676854,20398804,958778,2719384,1036494007,1391476869,110161622,7793894,310038,858243,456671196,44574998,1532585893,1027409,260838,226818401,46307113761,18481512605,28672796,157674925,0,26133069,41976940,939954735,120903796,29161433,5262838,406446,14364324,792588320,294291116,181381035,802214,62882397,34644376,686861175,17902931,10011384,2183733,66298228,5637554,44190864,50,161030,105725887,258047842,1399269316,39347216,23524713,33190646,50462663,6871921980,568825109,1502910,194085771,92776,660377,3236792,51889119,35280240,2021987,11856174,8522914,0,25685373,543203603,55443960,10890751612,9452727080,566496409,448694095,261611447,0,1722337810,13925852,18166887080,192158165,88488668,1120892715,2560938,9082971180,0,183442561,2466214,27193815,36822156,48141799,218316,15611139,19366915,40707121,58201264,138600361,6985531,0,120647531,3912254,24394313,856772,48796037,82220057,2793771793,1277729,3083580,34386616,2276272,219535,90577395,481138379,655607522,4783285,603738,55978832,7515677306,62084136,1064063346,8210480,5818343,906149357,0,4521662,190304243,290039680,1443399518,338944,143964040,341088621,7337281,191036551,5454723930,744342110,94332053,359033689,128817967,931280003,5845683,0,955286,1218533201,147740378,9919969,13680756,15840967,41825862174,0,70776665,608988233,45543174,87340718,828920144,219864,1134348355,730265633,228961,1387284,720427,29663507,5108656,468055100,472046764,42304062,7678285,393349786,12642386207,20713844,329929112,2926239,29860639,123143113,3404621975,4011530,216808,16581929,177092013,2555221239,2362534145,34347826417,31461402,48920050,18450904,10319010,10978020309,1114862,195030277,5912644,2297531
Maldives,0,0,0,0,0,0,0,0,2916,0,2252,0,0,0,12706,2699483,0,0,171535,0,0,0,0,0,0,0,0,0,0,0,0,0,10367,0,428015,0,0,0,22255,1630600,0,74827,0,0,0,1155105,0,0,0,0,27463,5825,78234,0,0,0,731823,0,0,0,0,0,404,0,0,0,0,196896,6165232,0,0,0,0,17288642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5956431,478325,22014,126,119117,0,3187539,0,5447352,0,0,0,0,488940,0,0,0,0,0,0,0,0,268536,0,0,0,0,540355,0,0,0,0,0,4370041,0,0,0,0,0,0,0,0,0,194,0,730,4155001,0,0,0,0,0,0,0,466331,27750,0,0,0,0,0,0,81357,392729,63004,4573,0,1778,0,0,0,23775,0,266824,257040,0,48970,0,0,207,0,0,9776,0,756531,2344463,0,0,0,0,0,0,2796947,0,0,0,70158834,0,0,0,0,0,2399,0,0,0,73582,353434,10269092,4403655,0,0,0,0,2124988,0,0,0,0
Mali,0,0,9564,0,55137,0,31571,8000,0,38873,346317917,0,0,0,764088,186883762,0,4700,7771340,643,1834655,0,97,2549,11101,0,1686655,0,131922,22781585,64016,0,0,351222,3072268,33573,335483,1020264,30370350,700449,386,0,0,538035,90826,0,155306675,0,0,0,11,0,13230220,4802,0,0,0,38785,0,15049,2005,137,144749,861980,0,12123,0,32087,11212575,1145,193713,537244,0,4904684,18756833,0,0,0,0,0,0,26327168,29646,0,35577,0,1683,18256,0,16226195,15199475,4326,13455,0,212928,1374920,0,926626,635448,0,93234,0,532752,7690,52004,0,0,0,0,0,2153976,0,0,1521302,76780,867,25752497,9786,0,3288575,0,8711134,0,0,19429,1460,0,0,0,861448,22406,0,327173,0,6833,12218785,38004,103531,0,15563257,531928,123675,0,6099,336,420490,0,0,0,0,894,96,5907,1950749,17088,731,70179,2186,0,0,1270,55755473,142241,9033,77060,457618,0,12,0,0,0,1732686399,0,2480818,0,109,1334,0,372,0,570119,1330403779,0,0,0,5390667,0,1183966,0,21780,0,41998111,0,0,468,6798710,24760432,2517799,9649701,0,7,0,0,17727035,0,0,0,0
Malta,12319,55128,2567867,0,12691087,0,0,5070,0,0,4704646,20540718,0,11184,1132810,6850260,252884,3373,5014449,97138,87403,0,0,0,106794,140522,4423256,230487,60153245,96506,2277604,997778,3943,3064596,21675283,348345,1518737,25066255,72301466,126517501,51692,382729,0,9193665,1141386,163157,464464,5597708,0,0,9047025,27484873,5532060,5969840,0,795818,1783188,20280101,0,223135,0,1427231,0,0,0,0,0,8975251,191567228,2690,45520,2258587,976611,423137110,31520788,2278555,64500043,0,0,61,56038,8690267,0,172609,2915,60984,0,76292644,1589019,41271828,161847,671927,4578666,41569262,4953638,234183223,1862805,168203362,2796798,61250,1599230,0,58607260,108390,1533376,4269843,0,953089,1118733,22828,725833,46841332,6659876,550681,439898,4665187,6903500,222892,2026127,0,0,215343,787031,22258279,0,1869,0,186149,0,1465390,1724243,25388,2932,0,35699,54344183,3186,1468977,8469,2373730,10447069,0,87240,5171434,6779999,1563584,10128,66128,0,1000,2021528,59053228,60587911,18728441,8349462,24248664,10060894,1035739,8829,479756,28506512,4589796,2885116,68128,3180649,136167434,0,6496285,17810553,0,3614248,3835420,2752505,43560847,883207,0,0,0,53283897,0,15331715,35163768,0,0,70796,3134713,0,1761026,0,1155037,35980609,36408294,20931920,0,44044,5599147,13590271,121001041,125637354,0,0,0,0,1457691,72289,6513550,150677,0
"Marshall Islands, Rep. of the",0,0,1015,0,15108,0,0,0,467,0,96595,136,0,0,0,111246,44377,0,19495819,0,58179,0,0,0,0,0,0,0,43470,0,0,0,11730,0,0,0,0,0,2593897,3149,0,0,0,0,0,0,0,0,0,0,50247665,0,464413245,0,0,0,739683,164611,0,0,0,0,142,0,0,72,401591,44,4600899,0,0,0,0,202232842,0,0,7914756,2312,0,0,189,5749,0,0,0,0,0,0,578,1363915,3902172,0,0,208381,0,9028353,0,7866006,0,0,120,109851,276186792,1110,0,0,0,0,0,0,0,0,0,0,0,0,15314273,0,0,29323370,0,16430,40944,735000,8652074,0,0,113,0,0,74537,0,0,0,1401,38112629,24,13281,0,0,0,0,2556,30426212,0,18171,66573,0,0,385402,0,10589768,125990078,51171,0,0,1709161,785430,0,0,3549,0,488,0,0,7858468,0,0,102,0,0,58030,0,847069,391355,117,0,0,0,0,3865,0,0,0,56220,0,0,0,0,0,1236,30851346,0,0,0,188679,93576,91723,14518261,0,0,0,0,0,0,0,0,0
"Mauritania, Islamic Rep. of",0,0,140101,0,171250,0,0,0,0,0,120698340,132,0,0,0,151536,0,563633,5238012,463380,18259277,0,0,0,0,3360,0,0,0,983832,0,0,0,16143563,324021228,136632,5556,43260,1354264024,4332,0,23028,0,2163180,799824,0,105795223,0,43416,0,112272,0,5161356,0,0,0,61572,471072,0,1817628,0,0,5603,29880,0,0,0,6468,49315605,0,557280,833256,0,101770558,21076005,0,9183706,0,0,0,0,2987532,102516,0,0,0,0,9120,0,1835283,299292,1116,0,49740,12696,350789972,0,225312037,31620,0,0,0,22166988,0,0,0,0,0,0,0,3717660,71952,0,0,0,0,24564,0,23049470,595764,0,0,0,246,0,0,0,0,0,1295688,0,0,220608,0,0,6818532,0,1176,0,88032,16560960,0,17580,757825,0,0,0,4172028,0,0,1404,0,20880504,22980119,0,0,51168099,2376,0,0,193968,7379958,0,0,526308,42840,0,0,0,0,1476,939576,0,312283154,0,0,0,0,11520,0,94884,18912,0,0,0,583452,0,3255180,0,0,595555,14623538,0,0,0,3574042,177178,20236056,1968979,0,0,0,0,2250817,0,3084,1608348,0
Mauritius,0,125468,0,0,1396629,0,0,183570,0,0,10828319,2246311,2772,408,214488,6983534,0,1581527,32380961,0,67272,0,0,0,29325,274807,176821,0,622960,192,110689,7865,2545,668774,4555581,0,0,215364,25718370,6700163,67183,0,6673826,168,266773,25631,422113,261578,0,65673,144290,3193941,6823042,245340,0,4680,0,167011,0,0,0,10332,4890501,4873,0,0,0,8153212,226148853,27996,13368,0,228,28983620,707410,0,2653804,0,0,0,0,0,7353,5707548,0,0,0,251649,0,44412583,3328850,200669,2600,2108227,3077015,79487940,0,14252778,33156,292,50717848,0,9184504,0,7377436,0,0,137187,103920,1454071,130572,0,502382,7975,129212667,273757,1579535,557629,1224,2163598,2532,30727,0,948879,0,0,0,0,0,37236,3924929,0,337365,0,23342,69076626,20539,1094134,0,0,162979,0,33672,969516,3390204,885346,0,471200,0,0,1858356,89803,6123710,10236741,268608,899119,2529950,2090904,0,0,7321639,684,73995,23978162,0,13157677,0,158380,101304,0,128724,232251375,0,82853194,3807951,0,0,0,234732,0,7292674,25228110,0,0,2440037,13241444,0,20220,0,0,5327,518640,0,0,400672,105295,24301991,152742405,135468144,0,0,13723,23927,65974872,0,0,16304,2368127
Mexico,57000,908000,236073000,0,17969000,390000,2433000,917445000,863000,16457000,1053954000,160604000,5964000,15107000,30705000,11049000,13632000,1917000,1564315000,185403000,7077000,2245000,1281000,168979000,552000,1322000,3656356000,6515000,61489000,5396000,290000,39000,16630000,16092000,13060705000,4923000,2138000,2079520000,9254996000,852307000,4024000,3434176000,161000,2939000,2009000,970848000,13987000,23515000,284551000,12052000,7402000,309518000,203261000,640000,41987000,703977000,600429000,80879000,1423480000,1398000,63000,7585000,11553000,3350000,0,0,1672000,237665000,1380687000,1267000,2932000,3556000,12895000,7541130000,19009000,157000,70981000,0,2574000,2451000,2442474000,3663000,127000,63337000,41409000,0,1011693000,439558000,5531000,4268528000,143142000,69000,28713000,354680000,249088000,1015690000,89979000,4182314000,17266000,99316000,14029000,0,6914942000,0,91736000,0,3453000,28917000,5412000,2000,2282000,10728000,7263000,20779000,7395000,610000,270704000,23000,3770000,2853000,3460000,3256000,2303000,0,188000,1377000,1781000,138000,58000,68449000,5130000,3088000,2263000,0,1047000,2343125000,35000,147342000,954512000,5254000,66554000,0,980000,71124000,24255000,63632000,64000,1350428000,5059000,101920000,1557580000,186418000,363767000,66902000,58112000,88351000,499052000,1075000,0,4000,264513000,4977000,7823000,153000,2127000,836987000,0,79243000,55006000,8000,1386000,228007000,0,4912640000,6447000,893000,3698000,1091000,1461000,9150000,87965000,1585306000,217000,39000,2268000,333118000,0,3210000,164000,369386000,25707000,323354000,1039000,0,9802000,37601000,364207000,3033023000,3.98989E+11,263599000,12032000,35000,229857000,165022000,0,1239000,923000,173000
"Micronesia, Federated States of",0,0,0,0,0,0,0,0,0,0,39846,1692,0,0,72,0,0,0,4157,0,0,0,0,2149,51,0,1350,0,0,1356,0,0,0,0,0,0,0,54125,16447452,0,0,1956,0,0,0,18,1320,0,0,0,0,0,1604,0,0,0,160886,0,0,0,0,181,0,0,0,0,348,658,8534,0,0,0,0,45016,0,0,0,0,0,30182948,17830,0,0,0,0,0,0,331,0,0,0,0,0,40527,0,21028,0,14440082,0,168,0,0,586793,0,0,0,0,0,0,0,0,0,0,544,0,0,7681,0,0,0,2375603,0,0,3964000,0,0,0,0,0,36,0,0,0,0,0,44732,0,5904,0,0,0,0,0,0,0,0,332701,0,0,1235,0,7186445,496,0,0,940,479,0,0,0,3820,0,3477,0,0,108720,0,256,85,0,0,40769,0,14754,204,29571,0,10,0,0,2774,0,0,0,0,150459658,0,0,0,3900,0,444,0,0,0,45,5688,10703,3134095,0,0,0,0,0,0,0,0,0
"Moldova, Rep. of",810471,855681,0,0,84568,9793,7193,656694,1105760,0,916077,22005827,4333596,0,650257,0,0,67811323,20868256,0,14279,0,0,57645,1524623,0,523688,2137,77766025,1061860,40,0,0,623573,7826450,0,0,1144496,12443804,1225196,1467,61888,0,0,46730,0,606063,2137791,0,0,13608297,79000746,1421122,26508,0,11332,56254,4435912,0,32748,0,5013770,889489,0,0,0,0,1731834,32422134,6931,28768,39469,19485090,245445905,1177918,28584,44501646,6853,6041,0,0,0,0,0,0,0,0,41801195,0,200922,7601654,17816,5703533,876253,13319262,239437870,24871,3205381,1146971,13978165,130360,0,1770250,0,79481,1740407,13117,7213984,24831193,0,332148,2147140,8435732,9785,173408,0,4043863,0,723623,92481,0,15009,0,475667,0,0,1223425,98649,0,117847,0,3354569,0,0,662950,35787059,215,50400,0,439,2255210,0,3682878,924011,871081,151184,0,32492,0,27732,30112,901671,108507757,16304179,866885,833477785,276067084,66801,0,3393,4781524,363130,24206917,42336,60504,343250,0,16391659,663941,0,36273,774447,0,62797913,0,0,0,0,0,1487,1096056,118855153,5200005,270170,33098,54841,0,192043,0,0,2590681,313954518,623747,0,0,92766603,14403818,65380979,31742217,372391,7510657,0,0,744266,164614,211454,0,1274
Mongolia,0,0,0,0,0,0,0,0,0,0,672998,3681415,0,0,156,0,0,2304,524338,0,0,0,0,0,0,0,0,0,0,0,0,0,545616,0,759894,0,0,27252,7633173309,5145280,0,0,0,0,0,0,0,0,0,0,0,528839,73576,0,0,0,0,523656,0,0,0,752388,0,0,0,0,0,0,4967089,0,0,0,0,12188106,0,0,0,0,0,0,0,0,0,0,0,0,0,202993,0,275335,203664,1728151,0,31237,4824,35559649,0,17732617,0,2174125,6000,0,223303238,0,252,237579,1812,0,307260,0,0,0,14675,4410,0,0,676955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112968,3657351,0,35520,0,0,0,0,0,385308,0,0,0,0,1620,0,0,2040,1020682,122256,2048075,9192,112783886,0,0,0,815999,0,0,0,0,254091272,0,0,1092,0,0,1731,0,1576488,0,0,0,0,1139916,0,581497,869738464,0,0,5904,436918,0,0,0,0,0,2864508,0,0,29352,122026,1225938,10136990,31029756,0,376473,0,0,484944,0,0,0,0
Montenegro,25433,23589420,411,0,0,0,0,922,852,165607,148459,2501924,8564,0,3501,0,0,48,512712,0,0,0,0,0,39491933,0,17610,0,970089,0,0,0,12490,17729,305662,0,0,3234,6722293,2178534,990,1198,0,0,0,0,0,4378359,0,0,394100,13291857,824813,0,0,0,62795,1530300,0,0,0,510678,912,0,0,0,0,4040,2595185,0,0,0,139585,24029993,1067,0,13257696,0,0,0,0,0,0,167,0,0,0,7736447,0,410519,682,6672,1234,11157,513617,29911271,0,206790,0,1672,0,0,328912,27833834,10828,8,0,4294,860584,0,14290,3585399,13009,4439216,0,0,50577,461,0,954184,0,32385,0,25626,0,266,0,0,0,911621,27960,0,0,0,0,1836233,0,1401,208,4,5920,0,5511096,106010,816,0,0,8871,0,1393,1416,0,17936411,14071,31209,646880,2766804,0,431239,0,686492,0,126856658,0,480,20560,0,1063712,25939361,0,0,5743,0,4448648,0,0,0,0,0,1406828,2669725,59474917,0,0,0,4698,0,0,0,0,6960,28602491,0,0,642591,1332812,5748454,1642814,3456231,0,624,0,0,283608,0,0,0,0
Montserrat,0,0,0,0,71184,426708,2468118,0,6,0,0,56,0,0,0,0,112380,0,2140498,853,0,16,0,1360,1969,0,854,3225,0,0,0,0,0,1388,27803,0,0,0,0,0,0,1068,0,0,0,354216,0,0,18746,70339,0,0,0,0,4206,0,9122,18053,1545,0,0,0,0,0,0,0,0,0,1639969,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,432631,0,60,218,0,0,2939,0,0,46763,0,25526,652,0,0,1476,0,0,254717,0,0,0,0,145,0,0,0,0,0,151,0,0,0,0,0,0,0,6092,0,869000,0,0,0,0,0,0,0,0,9129,0,0,11778,0,0,0,1981,0,0,0,0,840,60,0,0,0,113,0,0,2393,101,0,113644,399,0,0,0,105,0,190,0,0,4481,0,0,0,0,0,0,0,0,4200,471896,632,1225,0,0,0,20139,0,0,0,0,0,0,0,0,0,72,0,0,0,0,4332,7277,546605,0,0,8530,0,0,0,0,66436,0
