to_country_remittances,from_country_remittances,2017_USDM_remittances
Netherlands,Thailand,1.758694014
Kyrgyzstan,Italy,1.758430103
Qatar,Bulgaria,1.755478461
Ukraine,Panama,1.753231451
United Kingdom,Antigua and Barbuda,1.75120122
Sierra Leone,Spain,1.750211744
Netherlands,Costa Rica,1.748729742
Mexico,Greece,1.745175461
Sudan,Iraq,1.743700635
Spain,Jordan,1.742482717
Sierra Leone,Ghana,1.742265132
Belgium,Mauritania,1.737889367
Belgium,Togo,1.737889367
Rwanda,Sweden,1.736845701
Saudi Arabia,Oman,1.736596207
South Africa,Brazil,1.736384784
Iraq,Saudi Arabia,1.735955739
Costa Rica,Brazil,1.735925511
Estonia,Austria,1.735148206
India,Aruba,1.732873549
Liberia,Spain,1.73246511
Egypt,Mauritania,1.730924373
Nigeria,Slovakia,1.726597337
Iraq,Algeria,1.724883904
Morocco,Brazil,1.724273765
Hungary,Bulgaria,1.724268517
Nepal,Bhutan,1.723196007
Benin,Germany,1.721564556
United States of America,Uruguay,1.714862028
Albania,Bulgaria,1.713857201
Panama,El Salvador,1.71004382
United Kingdom,Ecuador,1.709012517
Cameroon,South Africa,1.708963651
United Kingdom,Brunei Darussalam,1.708895985
Denmark,Botswana,1.708565404
United States of America,Guyana,1.707937955
Bangladesh,Sri Lanka,1.70611244
Armenia,Iran (Islamic Republic of),1.705176981
Indonesia,New Caledonia,1.704556226
Czechia,Finland,1.70329214
Mexico,Ireland,1.702539767
Australia,Peru,1.700293526
Saudi Arabia,Spain,1.6992151
Italy,Botswana,1.699006673
Afghanistan,Norway,1.694148542
United States of America,Papua New Guinea,1.691781785
Botswana,Australia,1.691098911
Cyprus,Austria,1.690622706
Guinea-Bissau,Brazil,1.690505048
Germany,Nicaragua,1.687943898
Canada,Austria,1.687733023
Republic of Moldova,Luxembourg,1.684917228
Lebanon,Portugal,1.684845871
Japan,Romania,1.684673369
Democratic Republic of the Congo,Austria,1.682185111
Guatemala,Ireland,1.680417279
Mauritania,Canada,1.679089842
Russian Federation,Argentina,1.678725057
Afghanistan,Switzerland,1.676019711
Serbia,Finland,1.67348118
Qatar,Austria,1.671884248
Latvia,South Africa,1.670192975
Djibouti,Sweden,1.670057944
Iraq,New Zealand,1.669744075
Bangladesh,"China, Hong Kong SAR",1.666378228
Czechia,Slovenia,1.663218586
United States of America,Lithuania,1.66177747
Germany,Bahamas,1.660979938
Turkey,Romania,1.659749451
Côte d'Ivoire,Switzerland,1.659226493
Japan,Papua New Guinea,1.658953165
Saint Kitts and Nevis,Canada,1.658541709
New Zealand,United Kingdom,1.653837848
United States of America,Ghana,1.652545373
Egypt,Mexico,1.650225842
Republic of Korea,Panama,1.649795361
Thailand,Russian Federation,1.647709725
Albania,Mali,1.647643723
Philippines,Faroe Islands,1.646461616
Tunisia,Hungary,1.645925841
Morocco,Czechia,1.645150907
Peru,Finland,1.644810673
Dominican Republic,Australia,1.64411555
Maldives,Sri Lanka,1.643515655
Dominican Republic,Bermuda,1.642388448
United Republic of Tanzania,France,1.642351742
Cambodia,Italy,1.640938664
Kyrgyzstan,Spain,1.640429318
Belize,Bolivia (Plurinational State of),1.6391654
Hungary,Libya,1.637827615
Egypt,Estonia,1.637545134
Viet Nam,Belarus,1.636235427
Kuwait,Canada,1.635689937
Indonesia,Brazil,1.635527683
Ghana,Hungary,1.634507255
Cabo Verde,Belgium,1.634330342
Philippines,Timor-Leste,1.633219297
Portugal,Finland,1.630086145
Georgia,Republic of Moldova,1.628406448
Switzerland,Cyprus,1.624163604
Belize,Guatemala,1.620726636
Nepal,Luxembourg,1.616941632
Saint Lucia,Barbados,1.616935469
Norway,Estonia,1.61535953
Eswatini,Botswana,1.613448205
Liberia,Guinea,1.611063144
Russian Federation,Mexico,1.609881442
Switzerland,Haiti,1.6067463
Saudi Arabia,New Zealand,1.603324434
Germany,Honduras,1.601659226
Armenia,Denmark,1.600140587
Italy,United Republic of Tanzania,1.593013596
Guyana,Saint Lucia,1.592523014
India,Slovenia,1.592267479
Austria,Montenegro,1.592051994
Liberia,France,1.590867809
Slovakia,Malta,1.590106532
United Kingdom,Thailand,1.589107785
Japan,Bulgaria,1.588222604
Honduras,Peru,1.587857069
Cabo Verde,United Kingdom,1.587425444
Netherlands,Botswana,1.586810321
Slovenia,Russian Federation,1.585585052
Malawi,Botswana,1.58491448
Somalia,New Zealand,1.582986123
Netherlands,Colombia,1.581828185
United Kingdom,Bahamas,1.581706258
Dominican Republic,Finland,1.580855691
Sweden,Costa Rica,1.579988092
Panama,Nicaragua,1.579363615
Hungary,Cyprus,1.576940626
United States of America,Aruba,1.576380572
Sri Lanka,Seychelles,1.573234756
Albania,Finland,1.573108612
Czechia,Mexico,1.571335903
Poland,Portugal,1.569667011
Tajikistan,France,1.568089866
Dominican Republic,Denmark,1.566893742
Nigeria,Mexico,1.566480796
India,Lesotho,1.566385885
Malta,Netherlands,1.565694092
Peru,Luxembourg,1.564392541
Viet Nam,Guam,1.560500439
Sao Tome and Principe,Gabon,1.559820525
Croatia,Finland,1.557512484
Russian Federation,Brazil,1.554276985
Lithuania,Luxembourg,1.548387768
Belarus,Switzerland,1.547748216
Algeria,Australia,1.547009341
Estonia,Kyrgyzstan,1.545274487
Azerbaijan,Switzerland,1.544662409
Sri Lanka,Russian Federation,1.54015918
Guinea,Mauritania,1.540022342
Netherlands,Dominican Republic,1.536988961
Italy,Andorra,1.533782171
Morocco,Jordan,1.533463907
Uganda,France,1.5282535
Tunisia,Egypt,1.524513645
Hungary,Belarus,1.524089586
Colombia,Czechia,1.52354314
Portugal,Republic of Moldova,1.521005704
Tunisia,State of Palestine,1.520810186
Cambodia,United Kingdom,1.517624581
Brazil,Romania,1.517007308
Portugal,Uruguay,1.516465388
Panama,Honduras,1.515890373
France,Bermuda,1.515322136
United Republic of Tanzania,Namibia,1.513137096
Nicaragua,Belgium,1.512956845
Portugal,Hungary,1.511658709
Sierra Leone,Sweden,1.510844236
Benin,Italy,1.510227252
Germany,Trinidad and Tobago,1.509981762
Pakistan,Lesotho,1.509631005
Guinea,United Kingdom,1.508047762
Jamaica,Belgium,1.504193963
Ecuador,Philippines,1.50125383
Denmark,Egypt,1.499961488
Côte d'Ivoire,Togo,1.498839064
Colombia,El Salvador,1.497951802
Morocco,Iraq,1.497012217
Malaysia,Sweden,1.496221016
Canada,Paraguay,1.496220491
Cyprus,Ireland,1.495898921
Georgia,Bulgaria,1.493398648
Belarus,Republic of Moldova,1.493150589
Côte d'Ivoire,Spain,1.492210411
Spain,Liechtenstein,1.491929647
China,Costa Rica,1.490912368
Republic of Moldova,Finland,1.487073697
Italy,Cyprus,1.487020519
United States of America,Tunisia,1.486367626
Mozambique,Australia,1.482565093
Canada,Ecuador,1.4816882
Nigeria,Seychelles,1.481266384
United States of America,Latvia,1.479443553
Ethiopia,Turkey,1.474283739
Japan,Brunei Darussalam,1.473908118
United Kingdom,Iceland,1.47345126
Burkina Faso,Canada,1.473335964
Malta,Belgium,1.472425467
Latvia,Turkey,1.470965185
Cyprus,Denmark,1.470892384
United States of America,Dominica,1.470211456
Spain,Latvia,1.469152095
Benin,Canada,1.469082501
Belarus,Turkmenistan,1.468696292
Romania,Uruguay,1.467236517
State of Palestine,France,1.467188884
Chile,Italy,1.462352141
Algeria,Austria,1.461489016
Germany,Maldives,1.461446634
Ukraine,Iceland,1.46014447
Germany,Azerbaijan,1.456053842
Seychelles,United Kingdom,1.455804467
Montenegro,Russian Federation,1.454993897
Armenia,Estonia,1.453450238
Costa Rica,Norway,1.452479746
Qatar,Finland,1.448966348
Ecuador,Honduras,1.448848665
China,Gabon,1.446071947
Sweden,Montenegro,1.44511106
Netherlands,Panama,1.442328377
Nicaragua,Cayman Islands,1.441334589
Iceland,United Kingdom,1.439829443
Guyana,Sint Maarten (Dutch part),1.438626901
Costa Rica,Belgium,1.437513909
China,Haiti,1.433460854
China,Uganda,1.433460854
Jamaica,Sweden,1.43097129
Denmark,Mexico,1.43042685
Ghana,Russian Federation,1.428925354
Togo,Luxembourg,1.426422996
Croatia,Russian Federation,1.425009465
Switzerland,Bahamas,1.423864607
Cameroon,Cyprus,1.42336486
Cameroon,Luxembourg,1.418559251
Portugal,Mexico,1.416578446
Bangladesh,Bulgaria,1.416120468
Jordan,Sri Lanka,1.415946962
Argentina,Costa Rica,1.414821747
United States of America,Sri Lanka,1.414818874
Thailand,Faroe Islands,1.414328496
Guatemala,Luxembourg,1.413833077
Morocco,New Caledonia,1.413160876
Guinea,Guinea-Bissau,1.413031753
Egypt,Zambia,1.412999488
Tunisia,Greece,1.412695155
Belgium,El Salvador,1.412035111
Sao Tome and Principe,Angola,1.409673085
Bulgaria,Finland,1.408598232
Slovenia,Belgium,1.408177493
Tunisia,Bahrain,1.407475448
Guinea-Bissau,Mauritania,1.407466572
Mexico,South Africa,1.407148494
Pakistan,Maldives,1.400679849
Croatia,Romania,1.400607547
Nigeria,Lithuania,1.39998611
Djibouti,United Kingdom,1.3978003
Argentina,Norway,1.39643819
Kazakhstan,Turkmenistan,1.39629727
Pakistan,Poland,1.395565828
Trinidad and Tobago,Jamaica,1.395398103
Colombia,Cayman Islands,1.390829286
Eswatini,Canada,1.390613633
Republic of Moldova,Poland,1.390434588
Republic of Korea,Guinea,1.390200232
Montenegro,Czechia,1.390011758
India,Dem. People's Republic of Korea,1.383204719
Uruguay,Germany,1.382488018
Japan,Haiti,1.382460971
Solomon Islands,Papua New Guinea,1.380813582
Bangladesh,Russian Federation,1.380028112
Saudi Arabia,Mali,1.379850425
Russian Federation,Ecuador,1.378637507
Jamaica,Italy,1.376529622
Japan,Dem. People's Republic of Korea,1.37603092
Kenya,Eritrea,1.376019165
Czechia,Ecuador,1.374918915
Jamaica,Belize,1.372256386
Togo,Spain,1.369609232
Finland,Cyprus,1.369464924
Mauritania,Italy,1.367694391
Philippines,Poland,1.366767379
Myanmar,Denmark,1.366020402
Myanmar,Lao People's Democratic Republic,1.364472167
Trinidad and Tobago,Grenada,1.36442896
Portugal,Guinea-Bissau,1.364364818
Sierra Leone,Gambia,1.364273829
Canada,Indonesia,1.364218845
Norway,Botswana,1.364158912
Cabo Verde,Sao Tome and Principe,1.364010876
Republic of Moldova,Tajikistan,1.363609682
Lebanon,Malta,1.363170153
Viet Nam,Latvia,1.363088797
Mozambique,Brazil,1.363053273
Burkina Faso,Belgium,1.363006173
Italy,Latvia,1.362322782
Haiti,Panama,1.361575055
Netherlands,Russian Federation,1.360123133
Bulgaria,Malta,1.355519868
Rwanda,Italy,1.353965796
Slovakia,Brazil,1.349239078
Portugal,Japan,1.348947998
Malaysia,Republic of Korea,1.347678462
Switzerland,Malta,1.345486739
Netherlands,Namibia,1.342685657
Italy,Cabo Verde,1.340500678
Portugal,Bulgaria,1.337122925
China,Marshall Islands,1.336775811
United States of America,Central African Republic,1.336346049
United States of America,Lebanon,1.336346049
Zimbabwe,Spain,1.336119958
Georgia,Norway,1.332647399
Austria,Dominican Republic,1.330855964
United Kingdom,Namibia,1.330794503
Belgium,Liechtenstein,1.330571547
Oman,Netherlands,1.330242437
Armenia,Latvia,1.328218821
Poland,Paraguay,1.326340494
Denmark,Latvia,1.326124892
Aruba,Sint Maarten (Dutch part),1.324904309
Mexico,Portugal,1.324453173
Zambia,Italy,1.322035571
United Kingdom,Russian Federation,1.32191267
Chile,Ecuador,1.318967081
Norway,Portugal,1.318803245
Guinea,Togo,1.317186576
Zambia,Sweden,1.31713965
Eswatini,Australia,1.316943785
Canada,Panama,1.31456685
Egypt,Slovenia,1.314106971
Fiji,India,1.311846708
India,Serbia,1.310488909
United Republic of Tanzania,Finland,1.308611341
Burundi,Kenya,1.307763021
China,Pakistan,1.307349929
Somalia,Bahrain,1.307142418
State of Palestine,Ukraine,1.306443298
Algeria,Norway,1.305026407
Honduras,Denmark,1.30363819
Thailand,Panama,1.30061582
Israel,Dominican Republic,1.300202846
Suriname,Guyana,1.2997641
Madagascar,Australia,1.298890932
Zambia,India,1.293507885
Sierra Leone,Mali,1.292607604
Panama,Sweden,1.292601958
Georgia,Poland,1.292509684
Canada,Bermuda,1.292157447
Guatemala,Bolivia (Plurinational State of),1.290742117
Philippines,Bulgaria,1.289205684
Vanuatu,Greece,1.288537036
Montenegro,Spain,1.287094859
North Macedonia,Argentina,1.28511827
Somalia,United Republic of Tanzania,1.284980446
Malawi,Canada,1.284702583
Morocco,Poland,1.283530125
Romania,Libya,1.281816518
Estonia,Azerbaijan,1.281717797
Honduras,Guinea,1.281353382
Netherlands,Philippines,1.277917888
Kyrgyzstan,Hungary,1.276420018
Argentina,Portugal,1.276132529
Ethiopia,Finland,1.275567608
Uganda,Eritrea,1.275174733
Greece,Czechia,1.275002157
Malta,Ireland,1.274669974
Algeria,Mauritania,1.272458033
Sri Lanka,Pakistan,1.272031768
Egypt,Namibia,1.271699539
Greece,Russian Federation,1.271688622
Greece,Brazil,1.270758292
South Africa,Turkey,1.270118108
United States of America,Gabon,1.269413345
Cyprus,Hungary,1.268780376
France,Lebanon,1.268393213
Australia,Czechia,1.267629548
Switzerland,Sri Lanka,1.262754545
Indonesia,Thailand,1.259879357
Tunisia,New Caledonia,1.258797944
Senegal,Egypt,1.257204481
Nicaragua,United Kingdom,1.256112111
Bulgaria,Slovakia,1.25409886
France,Mongolia,1.25381398
Sweden,Sri Lanka,1.252429585
Zimbabwe,Belgium,1.249533278
Ethiopia,Denmark,1.248712681
Portugal,Thailand,1.248586772
United Kingdom,Colombia,1.247897403
Brazil,Dominican Republic,1.247482376
Namibia,Canada,1.247410757
Democratic Republic of the Congo,Mali,1.2456517
Norway,Libya,1.245536398
Senegal,Tunisia,1.245315375
South Africa,Finland,1.244872476
Viet Nam,Mongolia,1.24465951
Jordan,Portugal,1.244480355
Honduras,Norway,1.242375294
Dominican Republic,Slovenia,1.242085827
Germany,El Salvador,1.240342162
Kuwait,United Kingdom,1.239953676
Saudi Arabia,Switzerland,1.238814112
Honduras,Bolivia (Plurinational State of),1.238286248
Trinidad and Tobago,Australia,1.237571594
Armenia,Italy,1.234665996
Cayman Islands,Australia,1.231436735
Azerbaijan,Spain,1.230186693
Morocco,Andorra,1.228306785
Italy,Guatemala,1.228272714
Greece,Finland,1.227889608
Denmark,Argentina,1.226789694
United Republic of Tanzania,Botswana,1.226779353
Mexico,Haiti,1.226639649
Brazil,Costa Rica,1.225967937
France,Zambia,1.224655516
Mexico,Poland,1.22464792
Lebanon,Ireland,1.223940259
Belgium,Nicaragua,1.221953461
Croatia,Turkey,1.219522207
Canada,Brazil,1.219501444
Mauritania,Guinea,1.217179065
El Salvador,Norway,1.216989256
Zambia,Denmark,1.21506152
Guatemala,Romania,1.214851944
Kyrgyzstan,Norway,1.213129383
Norway,Ireland,1.210647423
Australia,Libya,1.209941018
Luxembourg,Namibia,1.209853817
Algeria,Luxembourg,1.209809497
Austria,Bosnia and Herzegovina,1.206476902
Brazil,Senegal,1.205327699
Bulgaria,Ireland,1.202514261
Iceland,Faroe Islands,1.202187691
Egypt,Philippines,1.201049565
Sudan,Belgium,1.200458103
United Kingdom,Papua New Guinea,1.19978748
Ukraine,Peru,1.199562503
Saudi Arabia,Senegal,1.199445953
Tunisia,Poland,1.199284544
Panama,Guatemala,1.198524162
Colombia,Nicaragua,1.19580084
Malaysia,Russian Federation,1.195649689
Panama,Australia,1.19546701
Canada,Trinidad and Tobago,1.194069934
Iceland,Belgium,1.193262528
Bangladesh,Romania,1.189817075
Netherlands,Cyprus,1.18823944
Bosnia and Herzegovina,Finland,1.186572476
Latvia,Greece,1.185405352
Bangladesh,Estonia,1.183346672
Senegal,Finland,1.182249244
United Kingdom,Ghana,1.18054351
Myanmar,Sweden,1.179251862
Ecuador,Puerto Rico,1.179099205
Czechia,Portugal,1.178501928
Netherlands,Qatar,1.17547948
Kuwait,India,1.174645727
Hungary,Philippines,1.173776457
United Kingdom,Zambia,1.172401831
Morocco,Ireland,1.172308684
Spain,Slovenia,1.170385919
Germany,Puerto Rico,1.170235866
Zimbabwe,Denmark,1.168798816
China,Lithuania,1.168627832
Hungary,Estonia,1.168217329
Madagascar,Botswana,1.166001238
Belarus,Norway,1.163970502
Saint Vincent and the Grenadines,Antigua and Barbuda,1.162597829
Slovenia,North Macedonia,1.161851116
Malta,Switzerland,1.159025937
Italy,Cuba,1.156571515
Slovenia,Ireland,1.155580792
Malta,South Africa,1.154632453
Cyprus,Poland,1.154590142
Philippines,Slovenia,1.153731844
Mozambique,Italy,1.152869299
France,Guinea-Bissau,1.151759354
United Kingdom,Romania,1.151677556
Jamaica,Spain,1.151294611
Colombia,Hungary,1.150984324
Saudi Arabia,Sri Lanka,1.150687987
Turkmenistan,Russian Federation,1.15
Benin,Burkina Faso,1.149918682
Kuwait,Libya,1.149320202
Nicaragua,Brazil,1.148080328
Greece,Israel,1.146383684
Tunisia,Philippines,1.144879578
Cambodia,Austria,1.143259348
Burundi,United Kingdom,1.142805165
Denmark,Estonia,1.142354776
Vanuatu,Papua New Guinea,1.141304187
Afghanistan,Denmark,1.141246496
Niger,Spain,1.13844789
Denmark,Russian Federation,1.137388016
Philippines,Namibia,1.136370696
Australia,Brazil,1.134035057
Costa Rica,Dominican Republic,1.13366564
Uruguay,Mexico,1.133529887
Somalia,Ireland,1.13208655
Bosnia and Herzegovina,Ireland,1.131495895
New Zealand,United States of America,1.129642385
Cyprus,Norway,1.128925308
Palau,Guam,1.127781073
Costa Rica,Austria,1.124206577
Kenya,Luxembourg,1.123445321
Belarus,Greece,1.121314022
Lao People's Democratic Republic,Viet Nam,1.120826082
Sudan,Greece,1.120792341
Burundi,Sweden,1.120526826
Colombia,Greece,1.119454672
Guyana,Bahamas,1.119058557
Honduras,Austria,1.118736929
China,Ghana,1.11818354
Bermuda,Dominican Republic,1.116489211
Saudi Arabia,Italy,1.115744779
Turkey,Qatar,1.114778253
Israel,Slovenia,1.114459583
Israel,Sri Lanka,1.114459583
Netherlands,Lithuania,1.1135074
Cambodia,Netherlands,1.113379969
Japan,Estonia,1.112398828
Netherlands,Bolivia (Plurinational State of),1.111016332
Mozambique,Netherlands,1.109152472
Bulgaria,Poland,1.107775387
Cameroon,Finland,1.107399784
Lebanon,Slovakia,1.106612975
Ukraine,Ecuador,1.102015662
Tajikistan,Australia,1.101957959
Russian Federation,India,1.101497829
China,El Salvador,1.10136875
China,Kyrgyzstan,1.10136875
Thailand,Romania,1.098795274
Egypt,Lithuania,1.098622756
Bosnia and Herzegovina,Belgium,1.096334875
Russian Federation,Croatia,1.096264526
Austria,Bolivia (Plurinational State of),1.094535746
Austria,Estonia,1.094535746
Japan,Uganda,1.093108675
Cameroon,Greece,1.086562069
United Republic of Tanzania,Mali,1.085370676
Latvia,Romania,1.084957129
Pakistan,Timor-Leste,1.084484326
Germany,Togo,1.083951194
Finland,Romania,1.083809664
Gambia,Liberia,1.081013765
Azerbaijan,Lithuania,1.080954482
Poland,Malta,1.080008971
Ethiopia,Qatar,1.078693214
Paraguay,Switzerland,1.073862571
Japan,Slovakia,1.073818522
Netherlands,Iceland,1.073650312
Canada,Finland,1.073495243
Senegal,Romania,1.071450889
Turkey,Spain,1.071124408
Republic of Moldova,Hungary,1.070748059
Zambia,Norway,1.070242495
Republic of Korea,Romania,1.069122046
Finland,Portugal,1.067006413
Peru,Dem. People's Republic of Korea,1.062390948
Cyprus,Sri Lanka,1.061546248
Saudi Arabia,Belgium,1.061468305
Burundi,South Africa,1.059751234
Qatar,Ireland,1.058860024
Indonesia,Hungary,1.058161147
Ecuador,Finland,1.054302578
Russian Federation,Peru,1.053836865
Portugal,Botswana,1.053353204
Bulgaria,Luxembourg,1.052841126
Poland,Estonia,1.052812958
Israel,Ghana,1.052545161
Russian Federation,Panama,1.052071644
Germany,Mongolia,1.051594442
Poland,Mexico,1.050664209
Italy,Uganda,1.050578438
United Kingdom,Estonia,1.048796335
Trinidad and Tobago,United States Virgin Islands,1.046995248
Ukraine,Jordan,1.046651239
Germany,Uganda,1.04620165
Luxembourg,Slovenia,1.044873751
Ireland,Switzerland,1.044500956
United Kingdom,Sint Maarten (Dutch part),1.043615266
Honduras,Romania,1.04211736
Jordan,Poland,1.041728782
Australia,Serbia,1.041429785
Rwanda,Angola,1.041188742
Azerbaijan,Hungary,1.039903316
Finland,Czechia,1.039000996
El Salvador,Brazil,1.038921706
Guinea,Australia,1.038569634
Canada,Colombia,1.038453315
Ukraine,Mexico,1.038081589
Uganda,Austria,1.035330845
Uruguay,Paraguay,1.035175175
Malaysia,Thailand,1.033901825
Ecuador,Romania,1.033838273
Bangladesh,Hungary,1.033326173
Suriname,Curaçao,1.033251783
Azerbaijan,Australia,1.033172224
El Salvador,Dominican Republic,1.03263152
Republic of Korea,Costa Rica,1.031549066
Mongolia,Norway,1.029339143
Estonia,Italy,1.026922462
India,Slovakia,1.026609892
Viet Nam,Greece,1.023915737
Portugal,Namibia,1.023841153
Hungary,Ecuador,1.023642259
Canada,Costa Rica,1.02271
Republic of Korea,Egypt,1.02130189
Slovenia,Brazil,1.02060647
Côte d'Ivoire,Gabon,1.019969303
Austria,Haiti,1.019908309
Armenia,Argentina,1.019446914
South Africa,Guinea,1.018870923
Czechia,Malta,1.018418558
Poland,Libya,1.016907929
Ghana,Portugal,1.016868369
Canada,Bahamas,1.016654878
Czechia,Estonia,1.015517618
Zimbabwe,Norway,1.014757099
Kazakhstan,Canada,1.014577444
Uganda,Burundi,1.013624994
Madagascar,Luxembourg,1.013470034
Algeria,Finland,1.012779798
Israel,Croatia,1.011268881
United Republic of Tanzania,Turkey,1.010377383
Australia,Vanuatu,1.009549281
Japan,Guatemala,1.009518011
Guinea-Bissau,Belgium,1.009342344
Madagascar,South Africa,1.009325624
Tajikistan,Poland,1.009306505
Maldives,India,1.00852097
Republic of Korea,American Samoa,1.007638989
Cambodia,Sweden,1.005974696
France,Cuba,1.005967031
Belgium,Guinea,1.00471729
Belgium,Seychelles,1.00471729
Brazil,Namibia,1.003840084
Sudan,Lebanon,1.003822602
Democratic Republic of the Congo,Botswana,1.002768129
Sweden,Namibia,1.001943668
Uruguay,France,1.000107188
Cyprus,Finland,0.999942687
Botswana,Zambia,0.999728358
Guatemala,Finland,0.999434691
Croatia,Malta,0.999341574
Poland,Cyprus,0.99870049
Viet Nam,Turkey,0.997657922
"China, Hong Kong SAR",Ireland,0.996618118
Spain,Croatia,0.996517894
Thailand,Estonia,0.995889641
Tajikistan,Czechia,0.995168691
Tajikistan,Azerbaijan,0.995109566
Austria,Iceland,0.995032496
Ghana,Malta,0.994497779
Poland,Latvia,0.992997231
Iceland,Italy,0.992503791
Georgia,Ireland,0.990760506
Benin,Senegal,0.990487304
Kenya,Czechia,0.990169101
Senegal,Denmark,0.989422703
Sri Lanka,Libya,0.988460636
Seychelles,Australia,0.98821965
United Republic of Tanzania,Spain,0.987160854
Georgia,Hungary,0.986831314
Lithuania,Czechia,0.986344586
Canada,Cayman Islands,0.986165466
Thailand,Poland,0.985999666
Chile,United Kingdom,0.984939117
Kazakhstan,Israel,0.984541478
Niger,Netherlands,0.98232984
Mauritius,Luxembourg,0.982208045
Iceland,Austria,0.979929879
Myanmar,Pakistan,0.979892485
Peru,Guatemala,0.978675339
Rwanda,Finland,0.975584081
Lithuania,Brazil,0.97387037
Malaysia,Turkey,0.973681209
Norway,Czechia,0.973402395
United Kingdom,Botswana,0.973300762
Serbia,Portugal,0.972166685
Poland,Croatia,0.971899556
Chile,Switzerland,0.971626268
Togo,Sweden,0.971442447
Japan,Curaçao,0.970937705
Nicaragua,Austria,0.970442744
Ethiopia,Greece,0.969473833
Myanmar,Netherlands,0.969470102
Netherlands,Argentina,0.969025455
Ireland,Channel Islands,0.968763851
Denmark,Belarus,0.968518179
Tunisia,Guinea,0.968306111
Bermuda,Luxembourg,0.967623983
Bermuda,Antigua and Barbuda,0.967623983
Bermuda,Costa Rica,0.967623983
United Kingdom,Morocco,0.967379541
Mali,Switzerland,0.967359487
Thailand,Slovakia,0.967157602
United States of America,French Polynesia,0.967062167
Lebanon,Dominican Republic,0.965752634
Burkina Faso,Spain,0.964795606
Indonesia,Czechia,0.964410066
Timor-Leste,Greece,0.964083655
Italy,Jordan,0.963290022
Albania,Denmark,0.962353695
Aruba,United Kingdom,0.962087004
Honduras,Finland,0.961585437
Jamaica,Saint Lucia,0.96039882
Nicaragua,Ecuador,0.959563789
Ecuador,Luxembourg,0.958467433
Nicaragua,Norway,0.957280983
Nigeria,Slovenia,0.957063922
Thailand,Mexico,0.956834588
Kuwait,Turkey,0.956287851
Cameroon,Mali,0.95540108
India,Ecuador,0.954717387
Ireland,Romania,0.954143714
Benin,Belgium,0.953298457
Dominican Republic,Portugal,0.952809453
Morocco,Iceland,0.952575268
Belgium,Uganda,0.950408248
Niger,Switzerland,0.950081505
Oman,Jordan,0.949505364
Poland,Serbia,0.94939537
Netherlands,Slovenia,0.949096911
Denmark,Ecuador,0.94865114
Ecuador,Hungary,0.947594054
Liberia,Switzerland,0.94637497
Azerbaijan,Norway,0.945947179
Costa Rica,Haiti,0.945902268
Algeria,Denmark,0.945825873
Austria,Costa Rica,0.945280872
Kyrgyzstan,Bulgaria,0.945005436
Burundi,Australia,0.944781912
Saudi Arabia,Norway,0.943705968
Romania,Croatia,0.943223475
Romania,Kyrgyzstan,0.943223475
Egypt,Sri Lanka,0.937097612
Switzerland,Iceland,0.936180093
Luxembourg,Estonia,0.93488704
Luxembourg,Russian Federation,0.93488704
Cyprus,Luxembourg,0.933629477
Portugal,Liechtenstein,0.933034842
Dominica,Sint Maarten (Dutch part),0.932638192
Botswana,Canada,0.931991344
Panama,Belgium,0.931534153
Canada,Bolivia (Plurinational State of),0.930066643
Ghana,Iceland,0.92924548
China,Lesotho,0.929017152
Canada,Viet Nam,0.927644594
Iceland,Finland,0.927425624
Maldives,Australia,0.926495612
Jordan,Philippines,0.92587433
India,Iraq,0.925120217
South Sudan,Oman,0.92345867
Belgium,Belarus,0.923253726
Belarus,Bulgaria,0.922947329
United States of America,Liberia,0.920901681
Malta,Luxembourg,0.919587594
Democratic Republic of the Congo,Cyprus,0.919267143
Switzerland,Montenegro,0.918762789
Namibia,Botswana,0.917164426
Romania,Mexico,0.917022823
Sierra Leone,Norway,0.916643696
Guatemala,South Africa,0.916099627
Finland,Poland,0.915777158
Ireland,Italy,0.914357767
Kazakhstan,Uzbekistan,0.91429048
Denmark,Serbia,0.913883821
Japan,Palau,0.913067246
Republic of Korea,Bulgaria,0.911998678
Dominica,Spain,0.91179244
Israel,Iceland,0.910330684
Jamaica,United States Virgin Islands,0.909945411
Democratic Republic of the Congo,Turkey,0.909423002
Luxembourg,Lithuania,0.907390363
Morocco,Mauritania,0.907244418
Saudi Arabia,Lebanon,0.906898159
Japan,Honduras,0.906637195
Zimbabwe,Austria,0.905788946
Sweden,Faroe Islands,0.905602931
Spain,Serbia,0.905407687
Canada,Cyprus,0.904635133
Georgia,Denmark,0.903929495
Belize,Cayman Islands,0.903555005
Slovenia,Poland,0.902143219
Algeria,Hungary,0.900919946
Gambia,Sierra Leone,0.899128909
Trinidad and Tobago,Barbados,0.896914018
Argentina,Dominican Republic,0.896616166
South Africa,Luxembourg,0.896469983
Ghana,Egypt,0.894557255
Fiji,Kiribati,0.894211299
Mali,Tunisia,0.893285242
Bermuda,Norway,0.893191369
Comoros,Egypt,0.891251664
France,Puerto Rico,0.889333172
Italy,El Salvador,0.88847138
Israel,El Salvador,0.887440038
Guatemala,Argentina,0.88717388
United States of America,Curaçao,0.886281317
Albania,Romania,0.884488756
"China, Hong Kong SAR",South Africa,0.884349135
Liberia,South Africa,0.883501051
Germany,Bermuda,0.882682963
United Kingdom,Sri Lanka,0.882261984
Egypt,Latvia,0.881712306
Madagascar,Netherlands,0.881414648
